city,zipcode,population,per_capita_income,white,african_american,native_american,asian,native_hawaiian_pacific_islander,other_race,two_or_more_races,white_not_hispanic,hispanic_or_latino
Philadelphia,19102,4937.0,87197.0,3842.0,220.0,11.0,809.0,0.0,14.0,41.0,3583.0,259.0
Philadelphia,19103,24219.0,78815.0,18731.0,1499.0,72.0,2840.0,31.0,103.0,943.0,17468.0,1377.0
Philadelphia,19104,54311.0,15478.0,20419.0,22962.0,291.0,7662.0,62.0,838.0,2077.0,18782.0,2766.0
Philadelphia,19106,12375.0,82364.0,10179.0,1054.0,0.0,798.0,0.0,62.0,282.0,9495.0,797.0
Philadelphia,19107,13696.0,49131.0,8085.0,1117.0,73.0,3720.0,0.0,131.0,570.0,7600.0,703.0
Philadelphia,19111,68263.0,23668.0,36706.0,16409.0,465.0,6940.0,0.0,5537.0,2206.0,29834.0,13449.0
Philadelphia,19114,31736.0,30852.0,25581.0,3262.0,66.0,1284.0,23.0,1076.0,444.0,23991.0,2843.0
Philadelphia,19115,34479.0,31773.0,25168.0,3410.0,106.0,4475.0,57.0,510.0,753.0,23511.0,2593.0
Philadelphia,19116,34912.0,28115.0,24503.0,2101.0,148.0,5849.0,0.0,1218.0,1093.0,23286.0,2208.0
Philadelphia,19118,10919.0,57762.0,7556.0,2091.0,5.0,580.0,0.0,343.0,344.0,7149.0,756.0
Philadelphia,19119,29391.0,41118.0,9616.0,17207.0,108.0,567.0,0.0,288.0,1605.0,9199.0,855.0
Philadelphia,19120,74971.0,16576.0,12735.0,39072.0,548.0,8307.0,19.0,11444.0,2846.0,4526.0,23091.0
Philadelphia,19121,30733.0,15844.0,4606.0,23664.0,179.0,1210.0,95.0,600.0,379.0,4097.0,1946.0
Philadelphia,19122,22187.0,18983.0,9119.0,8403.0,49.0,1336.0,9.0,2090.0,1181.0,6148.0,6152.0
Philadelphia,19123,15681.0,50184.0,8496.0,4719.0,77.0,1190.0,0.0,380.0,819.0,7575.0,1626.0
Philadelphia,19124,68965.0,16653.0,20579.0,27752.0,395.0,3410.0,99.0,14500.0,2230.0,9692.0,28603.0
Philadelphia,19125,24674.0,35058.0,19811.0,1131.0,78.0,1607.0,0.0,1341.0,706.0,18439.0,3324.0
Philadelphia,19126,15863.0,23649.0,1073.0,13232.0,0.0,590.0,5.0,256.0,707.0,852.0,769.0
Philadelphia,19127,6082.0,40805.0,5186.0,569.0,6.0,83.0,0.0,70.0,168.0,4943.0,319.0
Philadelphia,19128,38309.0,39931.0,30433.0,4929.0,110.0,1082.0,28.0,451.0,1276.0,29456.0,1618.0
Philadelphia,19129,10640.0,39731.0,5707.0,3800.0,0.0,463.0,0.0,164.0,506.0,5525.0,381.0
Philadelphia,19130,27410.0,57421.0,18784.0,5096.0,61.0,2009.0,0.0,587.0,873.0,17881.0,1598.0
Philadelphia,19131,44972.0,20350.0,5336.0,36511.0,154.0,1563.0,0.0,574.0,834.0,4808.0,1442.0
Philadelphia,19132,32196.0,15255.0,1295.0,29758.0,86.0,368.0,0.0,251.0,438.0,1027.0,1028.0
Philadelphia,19133,27419.0,12499.0,8598.0,10584.0,156.0,339.0,0.0,7058.0,684.0,970.0,16091.0
Philadelphia,19134,61509.0,15616.0,34399.0,11200.0,517.0,1018.0,12.0,12095.0,2268.0,21554.0,28422.0
Philadelphia,19135,35302.0,20458.0,19768.0,8941.0,74.0,1605.0,0.0,3832.0,1082.0,16012.0,8265.0
Philadelphia,19136,34470.0,23206.0,24790.0,5578.0,46.0,1106.0,11.0,1816.0,1123.0,21972.0,4986.0
Philadelphia,19137,8482.0,24992.0,8015.0,216.0,22.0,0.0,7.0,120.0,102.0,7496.0,726.0
Philadelphia,19138,32399.0,20772.0,911.0,29999.0,2.0,185.0,19.0,268.0,1015.0,827.0,541.0
Philadelphia,19139,44870.0,16207.0,2729.0,39754.0,114.0,1157.0,0.0,356.0,760.0,2540.0,1275.0
Philadelphia,19140,51667.0,14350.0,9628.0,29506.0,364.0,567.0,94.0,10157.0,1351.0,1555.0,21528.0
Philadelphia,19141,34784.0,19239.0,2529.0,29372.0,28.0,1769.0,0.0,317.0,769.0,1496.0,1502.0
Philadelphia,19142,28144.0,14846.0,1878.0,23884.0,60.0,1763.0,0.0,326.0,233.0,1672.0,718.0
Philadelphia,19143,65247.0,21106.0,8479.0,52094.0,264.0,1580.0,42.0,561.0,2227.0,7578.0,2331.0
Philadelphia,19144,42556.0,22465.0,7257.0,32454.0,177.0,901.0,8.0,574.0,1185.0,6883.0,1670.0
Philadelphia,19145,46623.0,26907.0,24090.0,14501.0,199.0,6361.0,0.0,596.0,876.0,22580.0,2914.0
Philadelphia,19146,38873.0,45507.0,18549.0,16645.0,120.0,1701.0,35.0,584.0,1239.0,17339.0,1799.0
Philadelphia,19147,39060.0,51043.0,28432.0,3568.0,88.0,4987.0,0.0,770.0,1215.0,25920.0,3536.0
Philadelphia,19148,52594.0,27367.0,34042.0,2707.0,137.0,11867.0,16.0,2234.0,1591.0,29439.0,7529.0
Philadelphia,19149,59633.0,19793.0,24841.0,16364.0,142.0,9161.0,15.0,6196.0,2914.0,20370.0,13324.0
Philadelphia,19150,22492.0,27041.0,632.0,21161.0,7.0,145.0,6.0,116.0,425.0,538.0,317.0
Philadelphia,19151,33174.0,24964.0,2821.0,29161.0,106.0,235.0,0.0,242.0,609.0,2150.0,1345.0
Philadelphia,19152,37067.0,24874.0,22738.0,5729.0,3.0,5572.0,0.0,1676.0,1349.0,19798.0,4791.0
Philadelphia,19153,13190.0,25254.0,1944.0,9747.0,24.0,537.0,0.0,135.0,803.0,1589.0,917.0
Philadelphia,19154,34253.0,30854.0,28481.0,2914.0,105.0,1353.0,76.0,794.0,530.0,26708.0,2819.0
Atlanta,30032,49456.0,20807.0,5679.0,41547.0,128.0,354.0,0.0,596.0,1152.0,5283.0,1099.0
Atlanta,30303,6719.0,11599.0,2076.0,4001.0,46.0,310.0,0.0,37.0,249.0,1774.0,493.0
Atlanta,30305,23693.0,94499.0,20176.0,1881.0,9.0,944.0,8.0,162.0,513.0,19179.0,1112.0
Atlanta,30306,24112.0,81647.0,21039.0,1309.0,6.0,789.0,0.0,122.0,847.0,20071.0,1203.0
Atlanta,30307,19652.0,68813.0,15427.0,2494.0,51.0,860.0,0.0,101.0,719.0,15087.0,576.0
Atlanta,30308,18099.0,55216.0,10778.0,5653.0,40.0,936.0,0.0,220.0,472.0,10134.0,964.0
Atlanta,30309,24744.0,85424.0,17503.0,3843.0,98.0,1764.0,12.0,350.0,1174.0,16991.0,1047.0
Atlanta,30310,29658.0,21556.0,2697.0,26112.0,29.0,142.0,0.0,80.0,598.0,2470.0,371.0
Atlanta,30311,36839.0,20623.0,697.0,34975.0,23.0,138.0,0.0,684.0,322.0,443.0,1233.0
Atlanta,30312,22275.0,40164.0,9641.0,11034.0,4.0,732.0,11.0,144.0,709.0,9027.0,979.0
Atlanta,30313,11529.0,16308.0,4513.0,4786.0,76.0,1608.0,11.0,120.0,415.0,4192.0,684.0
Atlanta,30314,24446.0,13397.0,1980.0,21464.0,37.0,500.0,0.0,153.0,312.0,1711.0,557.0
Atlanta,30315,35511.0,20685.0,4856.0,28845.0,141.0,136.0,0.0,1047.0,486.0,4051.0,2321.0
Atlanta,30316,33172.0,37479.0,13664.0,17228.0,154.0,558.0,1.0,377.0,1190.0,12675.0,1518.0
Atlanta,30317,13737.0,40246.0,6316.0,6361.0,13.0,317.0,0.0,87.0,643.0,6161.0,233.0
Atlanta,30318,54152.0,32644.0,20041.0,29080.0,84.0,2865.0,23.0,908.0,1151.0,18282.0,2846.0
Atlanta,30319,41839.0,71316.0,33001.0,3393.0,908.0,2810.0,13.0,730.0,984.0,30221.0,4662.0
Atlanta,30324,26818.0,56434.0,17826.0,4916.0,89.0,2637.0,77.0,156.0,1117.0,15428.0,2812.0
Atlanta,30326,6030.0,80313.0,3975.0,875.0,190.0,603.0,0.0,185.0,202.0,3695.0,674.0
Atlanta,30327,22655.0,107095.0,19555.0,1425.0,6.0,1464.0,5.0,50.0,150.0,19152.0,544.0
Atlanta,30331,64492.0,25820.0,1110.0,62340.0,156.0,131.0,36.0,142.0,577.0,905.0,702.0
Atlanta,30332,3115.0,2465.0,1488.0,652.0,32.0,705.0,0.0,59.0,179.0,1322.0,269.0
Atlanta,30336,234.0,42524.0,33.0,186.0,0.0,7.0,0.0,0.0,8.0,29.0,11.0
Atlanta,30342,30187.0,73035.0,22277.0,3097.0,1386.0,1526.0,0.0,678.0,1223.0,18965.0,6059.0
Atlanta,30344,32706.0,23546.0,6172.0,24332.0,21.0,604.0,5.0,1027.0,545.0,4457.0,2928.0
Atlanta,30354,16398.0,19056.0,3298.0,11580.0,0.0,192.0,0.0,583.0,745.0,2065.0,1449.0
Atlanta,30363,3559.0,48506.0,1554.0,947.0,0.0,970.0,0.0,18.0,70.0,1429.0,189.0
Dallas,75032,32317.0,45471.0,27532.0,2290.0,23.0,1086.0,0.0,468.0,918.0,22197.0,6054.0
Dallas,75039,19297.0,59733.0,7953.0,3135.0,65.0,7423.0,0.0,257.0,464.0,5822.0,2463.0
Dallas,75041,32257.0,19226.0,23546.0,2341.0,149.0,802.0,18.0,4557.0,844.0,8135.0,20405.0
Dallas,75060,48664.0,20289.0,30844.0,2570.0,251.0,2426.0,49.0,11295.0,1229.0,11578.0,31486.0
Dallas,75061,54862.0,20072.0,33757.0,4919.0,261.0,1970.0,42.0,12628.0,1285.0,10885.0,36350.0
Dallas,75062,48629.0,24195.0,28284.0,6789.0,313.0,4761.0,113.0,6883.0,1486.0,11906.0,23779.0
Dallas,75075,36917.0,39155.0,28139.0,2447.0,257.0,4128.0,40.0,927.0,979.0,23038.0,6576.0
Dallas,75080,51710.0,36664.0,38646.0,3749.0,189.0,5491.0,17.0,2376.0,1242.0,28869.0,12490.0
Dallas,75081,39309.0,35254.0,23023.0,5613.0,139.0,7773.0,0.0,901.0,1860.0,18611.0,5587.0
Dallas,75087,33638.0,39436.0,30220.0,954.0,90.0,873.0,0.0,603.0,898.0,26821.0,4076.0
Dallas,75088,26234.0,37074.0,19848.0,3747.0,184.0,1362.0,0.0,404.0,689.0,15857.0,4647.0
Dallas,75089,34374.0,36843.0,22850.0,6427.0,61.0,3322.0,0.0,543.0,1171.0,17376.0,6877.0
Dallas,75098,56764.0,32776.0,42053.0,6313.0,210.0,3734.0,0.0,2403.0,2051.0,32700.0,11922.0
Dallas,75116,20044.0,20870.0,13053.0,5627.0,40.0,367.0,0.0,646.0,311.0,4808.0,9235.0
Dallas,75126,44740.0,31253.0,35309.0,5983.0,72.0,950.0,9.0,1403.0,1014.0,28371.0,8696.0
Dallas,75134,22337.0,20393.0,4924.0,15862.0,53.0,149.0,0.0,709.0,640.0,1309.0,4848.0
Dallas,75141,5880.0,14417.0,3320.0,2175.0,23.0,3.0,0.0,114.0,245.0,1276.0,2255.0
Dallas,75150,62452.0,23139.0,40815.0,14319.0,508.0,2064.0,71.0,2438.0,2237.0,17502.0,27010.0
Dallas,75166,4297.0,35175.0,3395.0,409.0,16.0,168.0,0.0,163.0,146.0,3066.0,526.0
Dallas,75182,6218.0,48665.0,3870.0,469.0,36.0,1543.0,0.0,67.0,233.0,3212.0,761.0
Dallas,75201,15891.0,84621.0,11996.0,2539.0,27.0,764.0,0.0,353.0,212.0,10349.0,2097.0
Dallas,75202,2059.0,70647.0,1480.0,402.0,2.0,70.0,0.0,16.0,89.0,1257.0,250.0
Dallas,75203,17301.0,20146.0,10053.0,6445.0,32.0,97.0,9.0,409.0,256.0,1482.0,9205.0
Dallas,75204,30797.0,60909.0,22056.0,4147.0,35.0,2322.0,0.0,1301.0,936.0,16597.0,7009.0
Dallas,75205,24879.0,102429.0,22648.0,314.0,25.0,1409.0,32.0,136.0,315.0,21049.0,1775.0
Dallas,75206,38375.0,53334.0,29989.0,2133.0,149.0,2948.0,23.0,2089.0,1044.0,23558.0,8918.0
Dallas,75207,7813.0,31258.0,3827.0,3251.0,50.0,127.0,0.0,225.0,333.0,2331.0,1829.0
Dallas,75208,29720.0,31974.0,25095.0,1529.0,280.0,331.0,0.0,1757.0,728.0,7395.0,20146.0
Dallas,75209,14188.0,74309.0,10882.0,2144.0,99.0,333.0,0.0,398.0,332.0,9466.0,1842.0
Dallas,75210,8578.0,11921.0,3213.0,5064.0,0.0,0.0,0.0,279.0,22.0,79.0,3425.0
Dallas,75212,26320.0,13430.0,16598.0,7054.0,135.0,511.0,0.0,1669.0,353.0,3177.0,15548.0
Dallas,75214,33906.0,66014.0,29454.0,2161.0,221.0,966.0,0.0,495.0,609.0,24429.0,5585.0
Dallas,75215,16681.0,17346.0,4257.0,11846.0,4.0,36.0,1.0,445.0,92.0,1362.0,3450.0
Dallas,75216,54150.0,13712.0,20568.0,30703.0,155.0,5.0,31.0,2019.0,669.0,1482.0,21739.0
Dallas,75218,21576.0,56928.0,18691.0,1538.0,11.0,262.0,0.0,457.0,617.0,14443.0,4806.0
Dallas,75219,23419.0,75591.0,18794.0,1320.0,74.0,1670.0,38.0,1032.0,491.0,14608.0,5334.0
Dallas,75220,43088.0,30275.0,38658.0,1469.0,96.0,403.0,12.0,1962.0,488.0,16338.0,24633.0
Dallas,75223,15128.0,21474.0,12294.0,1695.0,82.0,133.0,0.0,764.0,160.0,2900.0,10325.0
Dallas,75224,37280.0,16972.0,25134.0,9099.0,17.0,526.0,13.0,2096.0,395.0,3242.0,24333.0
Dallas,75225,21296.0,120578.0,19999.0,26.0,23.0,761.0,0.0,126.0,361.0,19219.0,974.0
Dallas,75226,4674.0,23674.0,3471.0,928.0,26.0,57.0,0.0,158.0,34.0,1644.0,1995.0
Dallas,75227,58995.0,16233.0,39945.0,15863.0,176.0,450.0,31.0,1999.0,531.0,5127.0,37226.0
Dallas,75228,73606.0,20812.0,45201.0,13995.0,133.0,1561.0,65.0,10534.0,2117.0,17558.0,39306.0
Dallas,75229,31790.0,54615.0,28437.0,1006.0,181.0,883.0,0.0,696.0,587.0,18746.0,10789.0
Dallas,75230,27872.0,89305.0,23053.0,2411.0,30.0,1304.0,4.0,413.0,657.0,20620.0,3026.0
Dallas,75231,41072.0,27208.0,22378.0,10617.0,14.0,3703.0,0.0,2909.0,1451.0,11704.0,13961.0
Dallas,75232,31941.0,18156.0,12198.0,18283.0,53.0,52.0,16.0,1069.0,270.0,2452.0,11094.0
Dallas,75233,16092.0,19574.0,9269.0,5145.0,41.0,34.0,0.0,1257.0,346.0,1634.0,9105.0
Dallas,75234,33737.0,33016.0,24847.0,1720.0,201.0,2321.0,0.0,3701.0,947.0,12564.0,16453.0
Dallas,75235,19141.0,25891.0,14248.0,2984.0,0.0,948.0,0.0,624.0,337.0,6580.0,8490.0
Dallas,75236,19447.0,19297.0,9063.0,8037.0,350.0,435.0,0.0,1296.0,266.0,1651.0,9115.0
Dallas,75237,20773.0,14686.0,2911.0,16420.0,32.0,183.0,0.0,633.0,594.0,353.0,3559.0
Dallas,75238,33220.0,38562.0,23153.0,5740.0,142.0,1915.0,0.0,1491.0,779.0,16653.0,8399.0
Dallas,75240,28537.0,26235.0,8061.0,2707.0,44.0,1274.0,0.0,14339.0,2112.0,6065.0,17389.0
Dallas,75241,30682.0,16344.0,5235.0,24103.0,27.0,13.0,0.0,894.0,410.0,537.0,5674.0
Dallas,75243,67848.0,26488.0,28667.0,30460.0,187.0,4331.0,73.0,1990.0,2140.0,16331.0,15174.0
Dallas,75246,2357.0,28942.0,1566.0,578.0,0.0,93.0,0.0,104.0,16.0,861.0,822.0
Dallas,75247,730.0,12677.0,311.0,392.0,0.0,0.0,0.0,14.0,13.0,299.0,12.0
Dallas,75251,2414.0,48283.0,1857.0,270.0,0.0,232.0,0.0,37.0,18.0,1507.0,387.0
Dallas,75252,26511.0,48621.0,14350.0,2798.0,39.0,5114.0,84.0,2505.0,1621.0,12853.0,4438.0
Indianapolis,46113,15663.0,28214.0,14133.0,1343.0,0.0,21.0,0.0,127.0,39.0,13752.0,529.0
Indianapolis,46201,29807.0,18027.0,20072.0,7553.0,187.0,160.0,18.0,824.0,993.0,16477.0,4370.0
Indianapolis,46202,20007.0,32390.0,11543.0,5747.0,16.0,1679.0,0.0,190.0,832.0,11019.0,819.0
Indianapolis,46204,8008.0,40293.0,5064.0,2118.0,22.0,367.0,0.0,191.0,246.0,4930.0,470.0
Indianapolis,46205,27869.0,31411.0,12876.0,13412.0,98.0,454.0,0.0,396.0,633.0,12121.0,1193.0
Indianapolis,46208,23081.0,26399.0,9682.0,11640.0,22.0,293.0,0.0,631.0,813.0,9184.0,1037.0
Indianapolis,46214,24202.0,26462.0,12760.0,8746.0,30.0,446.0,189.0,868.0,1163.0,10902.0,3312.0
Indianapolis,46217,35190.0,28417.0,28797.0,1988.0,182.0,3037.0,0.0,361.0,825.0,27263.0,1936.0
Indianapolis,46218,27851.0,17718.0,6750.0,20028.0,68.0,97.0,51.0,448.0,409.0,5309.0,2043.0
Indianapolis,46219,37006.0,24112.0,27124.0,7611.0,57.0,396.0,22.0,765.0,1031.0,24650.0,3257.0
Indianapolis,46220,36731.0,47032.0,30083.0,4359.0,42.0,832.0,0.0,388.0,1027.0,29259.0,1243.0
Indianapolis,46221,26984.0,21154.0,22871.0,2308.0,213.0,120.0,0.0,677.0,795.0,21513.0,2142.0
Indianapolis,46222,36414.0,15446.0,13893.0,14381.0,132.0,323.0,6.0,6402.0,1277.0,10303.0,10399.0
Indianapolis,46224,37464.0,17860.0,16837.0,13651.0,280.0,929.0,24.0,4182.0,1561.0,11881.0,9887.0
Indianapolis,46225,6354.0,18860.0,5121.0,708.0,16.0,52.0,0.0,273.0,184.0,4542.0,874.0
Indianapolis,46226,46110.0,18975.0,17193.0,25521.0,249.0,218.0,36.0,1203.0,1690.0,12297.0,6118.0
Indianapolis,46235,32327.0,18086.0,11923.0,18608.0,57.0,160.0,27.0,587.0,965.0,8693.0,3919.0
Indianapolis,46236,28147.0,41636.0,21350.0,4263.0,47.0,480.0,18.0,611.0,1378.0,19903.0,2291.0
Indianapolis,46239,29584.0,28110.0,23777.0,3803.0,68.0,906.0,0.0,225.0,805.0,22226.0,1787.0
Indianapolis,46241,31273.0,17879.0,23932.0,4521.0,136.0,310.0,4.0,1313.0,1057.0,20576.0,5013.0
Indianapolis,46254,40603.0,23246.0,10382.0,22759.0,26.0,1257.0,0.0,4215.0,1964.0,8232.0,6587.0
Indianapolis,46259,11364.0,35937.0,10613.0,57.0,151.0,332.0,0.0,0.0,211.0,10467.0,164.0
Indianapolis,46268,25247.0,29234.0,11505.0,10591.0,23.0,434.0,0.0,1601.0,1093.0,10000.0,3672.0
Indianapolis,46278,8481.0,55920.0,5568.0,2228.0,0.0,293.0,0.0,132.0,260.0,5248.0,452.0
Seattle,98101,12792.0,75850.0,8710.0,774.0,157.0,2315.0,39.0,185.0,612.0,8365.0,609.0
Seattle,98102,25448.0,75380.0,19613.0,563.0,57.0,3255.0,85.0,277.0,1598.0,18786.0,1132.0
Seattle,98103,51377.0,60391.0,42401.0,711.0,74.0,4296.0,97.0,598.0,3200.0,41016.0,2204.0
Seattle,98104,14144.0,48897.0,7427.0,1460.0,254.0,3541.0,47.0,421.0,994.0,6876.0,1137.0
Seattle,98105,48861.0,39772.0,31503.0,912.0,218.0,12066.0,134.0,818.0,3210.0,30054.0,2480.0
Seattle,98106,26171.0,33689.0,12847.0,3456.0,126.0,4294.0,351.0,1825.0,3272.0,11579.0,3880.0
Seattle,98107,25720.0,66964.0,21550.0,270.0,96.0,1841.0,0.0,334.0,1629.0,20366.0,1742.0
Seattle,98109,29154.0,74081.0,20033.0,1038.0,96.0,5688.0,80.0,135.0,2084.0,19230.0,1266.0
Seattle,98112,25426.0,90911.0,21552.0,847.0,9.0,1356.0,22.0,128.0,1512.0,20645.0,1034.0
Seattle,98115,53431.0,59175.0,42123.0,1098.0,74.0,6001.0,36.0,807.0,3292.0,41053.0,2008.0
Seattle,98116,26448.0,63408.0,22099.0,454.0,112.0,1535.0,13.0,304.0,1931.0,21189.0,1501.0
Seattle,98117,35111.0,58916.0,29790.0,430.0,156.0,2086.0,21.0,460.0,2168.0,28670.0,1664.0
Seattle,98118,48436.0,35515.0,15807.0,11617.0,159.0,14652.0,352.0,2112.0,3737.0,14638.0,3832.0
Seattle,98119,25710.0,69497.0,20371.0,419.0,331.0,2590.0,37.0,439.0,1523.0,19590.0,1269.0
Seattle,98121,18140.0,90936.0,11661.0,737.0,85.0,4293.0,0.0,235.0,1129.0,10731.0,1395.0
Seattle,98122,38620.0,54939.0,25132.0,4746.0,433.0,3937.0,224.0,1023.0,3125.0,23596.0,2863.0
Seattle,98125,42475.0,40286.0,27630.0,3935.0,495.0,6262.0,195.0,1068.0,2890.0,25752.0,3304.0
Seattle,98126,24329.0,45996.0,16168.0,2646.0,223.0,3142.0,39.0,522.0,1589.0,15402.0,1705.0
Seattle,98133,47247.0,38727.0,31509.0,3308.0,184.0,7741.0,389.0,1453.0,2663.0,29161.0,4259.0
Seattle,98134,804.0,33062.0,481.0,98.0,31.0,110.0,0.0,22.0,62.0,437.0,58.0
Seattle,98136,16607.0,60543.0,14120.0,622.0,55.0,729.0,13.0,253.0,815.0,13569.0,949.0
Seattle,98144,31845.0,49610.0,15333.0,5316.0,363.0,6341.0,49.0,2056.0,2387.0,13943.0,3772.0
Seattle,98164,155.0,163222.0,123.0,0.0,0.0,32.0,0.0,0.0,0.0,123.0,0.0
Seattle,98177,21619.0,59544.0,17824.0,325.0,154.0,1735.0,0.0,196.0,1385.0,17167.0,882.0
Seattle,98199,21954.0,67951.0,18234.0,489.0,57.0,1708.0,98.0,149.0,1219.0,17190.0,1332.0
